model,comparison,AF_group,p_value
1.5,Direct - Internal,all,5.293041203101513e-05
1.5,Direct - Internal,AF,0.014964343110483433
1.5,Direct - Internal,NO AF,0.0010358117092512439
1.5,Combo uzgent - Internal,all,0.9228608534414354
1.5,Combo uzgent - Internal,AF,0.41363639841484756
1.5,Combo uzgent - Internal,NO AF,0.4794115143314567
1.5,Combo amst - Internal,all,0.07736021094879098
1.5,Combo amst - Internal,AF,0.28556195920125615
1.5,Combo amst - Internal,NO AF,0.34853472903524385
1.5,Transfer - Internal,all,0.7365690367643257
1.5,Transfer - Internal,AF,0.4742157337264562
1.5,Transfer - Internal,NO AF,0.22302870838284028
1.5,Transfer - Combo uzgent,all,0.701478108866614
1.5,Transfer - Combo uzgent,AF,0.928154536694891
1.5,Transfer - Combo uzgent,NO AF,0.6512246198633607
1.5,Transfer - Direct,all,0.00010672423853067571
1.5,Transfer - Direct,AF,0.1280375952319905
1.5,Transfer - Direct,NO AF,6.945591493728417e-05
1.5,Combo uzgent - Direct,all,0.00047994126117186674
1.5,Combo uzgent - Direct,AF,0.1521888996148079
1.5,Combo uzgent - Direct,NO AF,0.00042175901751465033
12,Direct - Internal,all,9.86654860561175e-05
12,Direct - Internal,AF,0.004540272084306231
12,Direct - Internal,NO AF,0.007686422303670108
12,Combo uzgent - Internal,all,0.31609132762181247
12,Combo uzgent - Internal,AF,0.09243193262717954
12,Combo uzgent - Internal,NO AF,0.8808409945415221
12,Combo amst - Internal,all,0.5486446196081924
12,Combo amst - Internal,AF,0.9036521610474073
12,Combo amst - Internal,NO AF,0.33259067550565335
12,Transfer - Internal,all,0.31609132762181247
12,Transfer - Internal,AF,0.09243193262717954
12,Transfer - Internal,NO AF,0.8808409945415221
12,Transfer - Combo uzgent,all,1.0
12,Transfer - Combo uzgent,AF,1.0
12,Transfer - Combo uzgent,NO AF,1.0
12,Transfer - Direct,all,0.009996406333529799
12,Transfer - Direct,AF,0.32116717263729033
12,Transfer - Direct,NO AF,0.02324290233902735
12,Combo uzgent - Direct,all,0.009996406333529799
12,Combo uzgent - Direct,AF,0.32116717263729033
12,Combo uzgent - Direct,NO AF,0.02324290233902735
6,Direct - Internal,all,0.6073409183480516
6,Direct - Internal,AF,0.8901326385798699
6,Direct - Internal,NO AF,0.5564023560732754
6,Combo uzgent - Internal,all,0.45306359266430163
6,Combo uzgent - Internal,AF,0.10104606002871398
6,Combo uzgent - Internal,NO AF,0.8202693292550145
6,Combo amst - Internal,all,0.06101105612661109
6,Combo amst - Internal,AF,0.45270671808269225
6,Combo amst - Internal,NO AF,0.16676521606090666
6,Transfer - Internal,all,0.8425651571002901
6,Transfer - Internal,AF,0.15849863719421364
6,Transfer - Internal,NO AF,0.44239950557927454
6,Transfer - Combo uzgent,all,0.6298770759302055
6,Transfer - Combo uzgent,AF,0.8422569262528314
6,Transfer - Combo uzgent,NO AF,0.634066817671511
6,Transfer - Direct,all,0.7830309480468379
6,Transfer - Direct,AF,0.26422362062995897
6,Transfer - Direct,NO AF,0.2349320626363649
6,Combo uzgent - Direct,all,0.8363780913303852
6,Combo uzgent - Direct,AF,0.18759727862565068
6,Combo uzgent - Direct,NO AF,0.47341068894315697
